Date ,Route Name,Route Name (English),Station Name,Station Name (English),Boarding Passengers,Leaving Passengers,Recorded Date,,,Route Name,Route Name (English),,Station Name,Station Name (English)
20251201,3호선,Line 3,도곡,Dogok,7202,6870,20251204,,,,,,수서,Suseo
20251201,3호선,Line 3,대치,Daechi,12872,12899,20251204,,,,,,가락시장,Garak Market
20251201,3호선,Line 3,학여울,Hangnyeoul,2255,2374,20251204,,,,,,경찰병원,Police Hospital
20251201,3호선,Line 3,대청,Daecheong,12564,11751,20251204,,,,,,오금,Ogeum
20251201,3호선,Line 3,일원,Irwon,13320,13172,20251204,,,,,,불암산,Bulamsan
20251201,3호선,Line 3,수서,Suseo,20030,20260,20251204,,,,,,상계,Sanggye
20251201,3호선,Line 3,가락시장,Garak Market,10199,9919,20251204,,,,,,노원,Nowon
20251201,3호선,Line 3,경찰병원,Police Hospital,8568,8531,20251204,,,,,,창동,Chang-dong
20251201,3호선,Line 3,오금,Ogeum,7448,6651,20251204,,,,,,쌍문,Ssangmun
20251201,4호선,Line 4,불암산,Bulamsan,10624,9103,20251204,,,,,,수유(강북구청),Suyu (Gangbuk-gu Office)
20251201,4호선,Line 4,상계,Sanggye,21335,20196,20251204,,,,,,미아(서울사이버대학),Mia (Seoul Cyber University)
20251201,4호선,Line 4,노원,Nowon,21906,24397,20251204,,,,,,미아사거리,Mia Sageori
20251201,4호선,Line 4,창동,Chang-dong,28784,30336,20251204,,,,,,길음,Gireum
20251201,4호선,Line 4,쌍문,Ssangmun,31136,29684,20251204,,,,,,성신여대입구(돈암),Sungshin Women’s Univ. (Donam)
20251201,4호선,Line 4,수유(강북구청),Suyu (Gangbuk-gu Office),36245,36864,20251204,,,,,,한성대입구(삼선교),Hansung Univ. (Samseongyo)
20251201,4호선,Line 4,미아(서울사이버대학),Mia (Seoul Cyber University),17946,17583,20251204,,,,,,혜화,Hyehwa
20251201,4호선,Line 4,미아사거리,Mia Sageori,27513,27266,20251204,,,,,,명동,Myeong-dong
20251201,4호선,Line 4,길음,Gireum,23867,24441,20251204,,,,,,회현(남대문시장),Hoehyeon (Namdaemun Market)
20251201,4호선,Line 4,성신여대입구(돈암),Sungshin Women’s Univ. (Donam),24300,23545,20251204,,,,,,숙대입구(갈월),Sookmyung Women’s Univ. (Galwol)
20251201,4호선,Line 4,한성대입구(삼선교),Hansung Univ. (Samseongyo),16283,15516,20251204,,,,,,삼각지(전쟁기념관),Samgakji (War Memorial of Korea)
20251201,4호선,Line 4,혜화,Hyehwa,36112,35490,20251204,,,,,,신용산,Sinyongsan
20251201,4호선,Line 4,동대문,Dongdaemun,20700,20910,20251204,,,,,,이촌(국립중앙박물관),Ichon (National Museum of Korea)
20251201,4호선,Line 4,동대문역사문화공원(DDP),Dongdaemun History & Culture Park (DDP),20297,17844,20251204,,,,,,동작(현충원),Dongjak (National Cemetery)
20251201,4호선,Line 4,충무로,Chungmuro,36185,36556,20251204,,,,,,총신대입구(이수),Chongshin Univ. (Isu)
20251201,4호선,Line 4,명동,Myeong-dong,37541,39959,20251204,,,,,,남태령,Namtaeryeong
20251201,4호선,Line 4,회현(남대문시장),Hoehyeon (Namdaemun Market),31649,33036,20251204,,,,,,방화,Banghwa
20251201,4호선,Line 4,서울역,Seoul Station,14427,22925,20251204,,,,,,개화산,Gaehwasan
20251201,4호선,Line 4,숙대입구(갈월),Sookmyung Women’s Univ. (Galwol),17188,16558,20251204,,,,,,김포공항,Gimpo International Airport
20251201,4호선,Line 4,삼각지(전쟁기념관),Samgakji (War Memorial of Korea),6453,7134,20251204,,,,,,송정,Songjeong
20251201,4호선,Line 4,신용산,Sinyongsan,22171,23830,20251204,,,,,,마곡,Magok
20251201,4호선,Line 4,이촌(국립중앙박물관),Ichon (National Museum of Korea),10539,11509,20251204,,,,,,발산,Balsan
20251201,4호선,Line 4,동작(현충원),Dongjak (National Cemetery),1909,1960,20251204,,,,,,우장산,Ujangsan
20251201,4호선,Line 4,총신대입구(이수),Chongshin Univ. (Isu),21135,22938,20251204,,,,,,화곡,Hwagok
20251201,4호선,Line 4,사당,Sadang,26797,23745,20251204,,,,,,까치산,Kkachisan
20251201,4호선,Line 4,남태령,Namtaeryeong,1547,1355,20251204,,,,,,신정(은행정),Sinjeong (Bank Area)
20251201,5호선,Line 5,방화,Banghwa,7847,7576,20251204,,,,,,목동,Mok-dong
20251201,5호선,Line 5,개화산,Gaehwasan,6861,6641,20251204,,,,,,오목교(목동운동장앞),Omokgyo (Mokdong Stadium)
20251201,5호선,Line 5,김포공항,Gimpo International Airport,13692,8363,20251204,,,,,,양평,Yangpyeong
20251201,5호선,Line 5,송정,Songjeong,6892,6618,20251204,,,,,,영등포시장,Yeongdeungpo Market
20251201,5호선,Line 5,마곡,Magok,17297,17162,20251204,,,,,,신길,Singil
20251201,5호선,Line 5,발산,Balsan,26861,27449,20251204,,,,,,여의도,Yeouido
20251201,5호선,Line 5,우장산,Ujangsan,16779,16863,20251204,,,,,,여의나루,Yeouinaru
20251201,5호선,Line 5,화곡,Hwagok,31706,29767,20251204,,,,,,마포,Mapo
20251201,5호선,Line 5,까치산,Kkachisan,29886,29128,20251204,,,,,,공덕,Gongdeok
20251201,5호선,Line 5,신정(은행정),Sinjeong (Bank Area),15020,12533,20251204,,,,,,애오개,Aeogae
20251201,5호선,Line 5,목동,Mok-dong,17876,20032,20251204,,,,,,서대문,Seodaemun
20251201,5호선,Line 5,오목교(목동운동장앞),Omokgyo (Mokdong Stadium),22398,23750,20251204,,,,,,광화문(세종문화회관),Gwanghwamun (Sejong Center)
20251201,5호선,Line 5,양평,Yangpyeong,9566,9449,20251204,,,,,,청구,Cheonggu
20251201,5호선,Line 5,영등포구청,Yeongdeungpo District Office,5630,5551,20251204,,,,,,신금호,Singeumho
20251201,5호선,Line 5,영등포시장,Yeongdeungpo Market,12682,12706,20251204,,,,,,행당,Haengdang
20251201,5호선,Line 5,신길,Singil,5447,5866,20251204,,,,,,마장,Majang
20251201,5호선,Line 5,여의도,Yeouido,33671,35281,20251204,,,,,,답십리,Dapsimni
20251201,5호선,Line 5,여의나루,Yeouinaru,12002,13693,20251204,,,,,,장한평,Janghanpyeong
20251201,5호선,Line 5,마포,Mapo,16936,17167,20251204,,,,,,군자(능동),Gunja (Neungdong)
20251201,5호선,Line 5,공덕,Gongdeok,16410,17180,20251204,,,,,,아차산(어린이대공원후문),Achasan (Children’s Grand Park Rear Gate)
20251201,5호선,Line 5,애오개,Aeogae,7598,7403,20251204,,,,,,광나루(장신대),Gwangnaru (Korea Baptist Theological Univ.)
20251201,5호선,Line 5,충정로(경기대입구),Chungjeongno (Kyonggi Univ.),5835,5962,20251204,,,,,,천호(풍납토성),Cheonho (Pungnap Fortress)
20251201,5호선,Line 5,서대문,Seodaemun,22691,23035,20251204,,,,,,강동,Gangdong
20251201,5호선,Line 5,광화문(세종문화회관),Gwanghwamun (Sejong Center),37329,39146,20251204,,,,,,길동,Gildong
20251201,5호선,Line 5,종로3가,Jongno 3(sam)-ga,14107,13764,20251204,,,,,,굽은다리(강동구민회관앞),Gubeundari (Gangdong Community Center)
20251201,5호선,Line 5,을지로4가,Euljiro 4(sa)-ga,7486,7381,20251204,,,,,,명일,Myeongil
20251201,5호선,Line 5,동대문역사문화공원(DDP),Dongdaemun History & Culture Park (DDP),3886,4192,20251204,,,,,,고덕,Godeok
20251201,5호선,Line 5,청구,Cheonggu,3842,3547,20251204,,,,,,상일동,Sangil-dong
20251201,5호선,Line 5,신금호,Singeumho,7094,7482,20251204,,,,,,둔촌동,Dunchon-dong
20251201,5호선,Line 5,행당,Haengdang,8974,7991,20251204,,,,,,올림픽공원(한국체대),Olympic Park (Korea National Sport Univ.)
20251201,5호선,Line 5,왕십리(성동구청),Wangsimni (Seongdong-gu Office),4974,5405,20251204,,,,,,방이,Bangi
20251201,5호선,Line 5,마장,Majang,6606,6434,20251204,,,,,,개롱,Gaerong
20251201,5호선,Line 5,답십리,Dapsimni,17641,15914,20251204,,,,,,거여,Geoyeo
20251201,5호선,Line 5,장한평,Janghanpyeong,21784,21511,20251204,,,,,,마천,Macheon
20251201,5호선,Line 5,군자(능동),Gunja (Neungdong),13035,14315,20251204,,,,,,강일,Gangil
20251201,5호선,Line 5,아차산(어린이대공원후문),Achasan (Children’s Grand Park Rear Gate),15573,15417,20251204,,,,,,미사,Misa
